objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid,SpType,BV,TEff,FeH
1237662247130955868,205.594596931897,7.75464493125952,17.99148,16.83856,16.48426,16.2244,16.09293,3905,301,5,39,2030097382376499200,GALAXY,0.055044,1803,54152,363,,0,0,0
1237662247130890400,205.402831636267,7.7889302498958,18.64249,17.41085,16.90708,16.62633,16.44235,3905,301,5,38,2030101780423010304,GALAXY,0.07169899,1803,54152,379,,0,0,0
1237662247130824863,205.326098695002,7.76117495977076,18.68151,17.39685,16.83889,16.47927,16.26787,3905,301,5,37,2030099031643940864,GALAXY,0.07170389,1803,54152,369,,0,0,0
1237662247130759244,205.209017862692,7.8508899270757,17.82218,17.55199,17.63388,17.53862,17.5629,3905,301,5,36,2030086387260221440,QSO,0.5374243,1803,54152,323,,0,0,0
1237662247130693798,205.027749746292,7.82957943902689,18.93784,17.49981,16.66198,16.18024,15.85204,3905,301,5,35,2030089410917197824,QSO,0.0842641,1803,54152,334,,0,0,0
1237662247130693779,204.996454041053,7.88396186862959,19.2358,19.23869,18.83978,18.80192,18.81186,3905,301,5,35,2030087486771849216,QSO,1.289765,1803,54152,327,,0,0,0
1237662246593888430,205.166182542349,7.28936602104354,19.17114,17.22516,16.26681,15.83773,15.48445,3905,301,4,36,2030091609940453376,GALAXY,0.08014203,1803,54152,342,,0,0,0
1237662246593888413,205.163087159443,7.45679834470289,18.81427,17.72746,17.35428,17.11356,17.04155,3905,301,4,36,2030094908475336704,GALAXY,0.0507086,1803,54152,354,,0,0,0
1237662246593822914,205.005550121964,7.36744493111711,17.41609,15.88221,15.39346,15.17478,15.07759,3905,301,4,35,2030094633597429760,GALAXY,0.02329615,1803,54152,353,,0,0,0
1237662246593757382,204.877258300356,7.46119858648941,19.42727,17.63739,16.70503,16.28812,15.96223,3905,301,4,34,2030093808963708928,GALAXY,0.08379736,1803,54152,350,,0,0,0
1237662246057017378,205.124598872827,7.02349862954136,19.07406,17.89749,17.38779,17.20402,17.1066,3905,301,3,36,2030096282864871424,STAR,0.0007479925,1803,54152,359,G0,0.524,5835,-0.49
1237662245520146604,205.180550784644,6.52582365410545,18.44535,17.41163,17.0184,16.7658,16.58845,3905,301,2,36,2030085287748593664,GALAXY,0.0379353,1803,54152,319,,0,0,0
1237662245520146564,205.057896294307,6.45045452289551,19.45331,18.2522,17.59599,17.25949,17.05877,3905,301,2,36,2030085562626500608,GALAXY,0.1349854,1803,54152,320,,0,0,0
1237661972268253342,205.674677240205,7.51608209549806,17.28872,16.11855,15.69454,15.45632,15.41736,3841,301,5,271,2030099581399754752,GALAXY,0.02321949,1803,54152,371,,0,0,0
1237661971194315514,205.191815212516,6.64531332775942,19.58275,18.08702,17.34716,16.96841,16.73216,3841,301,3,268,2030085012870686720,GALAXY,0.1468022,1803,54152,318,,0,0,0
1237661971194249354,204.945426259872,6.78241862919628,18.88265,17.60106,16.79243,16.38127,16.07076,3841,301,3,267,2030094083841615872,GALAXY,0.1335044,1803,54152,351,,0,0,0
1237658800425140373,176.428219095091,53.441341823092,18.92037,17.93504,17.59614,17.36986,17.25312,3103,301,1,122,992006918098675712,GALAXY,0.02852144,881,52368,324,,0,0,0
1237657858219900979,177.339678892297,53.3370517378235,18.9091,17.80226,17.0441,16.40296,16.22512,2883,301,6,171,992019287604488192,QSO,0.09534547,881,52368,369,,0,0,0
1237657858219835482,177.179045792431,53.3923919296969,18.8069,17.87737,17.52591,17.22518,17.1431,2883,301,6,170,992020661994022912,GALAXY,0.0964492,881,52368,374,,0,0,0
1237657858219769942,176.88346053648,53.3322125048004,18.77057,17.7186,17.30178,16.99501,16.8734,2883,301,6,169,992010216633559040,GALAXY,0.09623185,881,52368,336,,0,0,0
1237657858219704512,176.617829414711,53.4120848763121,18.71952,17.68766,17.24353,17.05573,16.88505,2883,301,6,168,992007192976582656,GALAXY,0.00305362,881,52368,325,,0,0,0
